A				aI
conservation	kons@rvxAS@n
consignment		konsaInment
constant		konstant
consumer		konsum@r
continuous		kontinU@s
contour			kontOr
convenient		konvInIent
conversion		konv@rS@n
cool			kUl
corner			kOrn@r
correlation		kOrilxAS@n
corrosion		kOrWS@n
cost			kost
court			kOrt
creeper			krIp@r
crop			k.rop
cross			k.ros
cunning			k@nIG
cusp			k@sp
customs			k@st@mz

cardboard		kArdbOrd
carefree		kerfrI
caretaker		kertxAk@r
clockwork		k.lokwirk
commonsense		kom@nsens
copyright		kopIraIt
cupboard		kupbOrd

carter			kart@r
clothier		k.loTI@r
clothing		k.lWTIG
cooker			kuk@r
cooked			kuk@d
cooking			kukIG
crying			k.raIG

D				dI

damage			dam@J
danger			dxAnJ@r
dark			dArk
daughter		dot@r
day				dxA
dead			ded
dear			dIr
death			deT
debt			det
decision		dIsiS@n
deep			dIp
degree			d@grI
delicate		delik@t
dependent		dIpend@nt
design			dIsaIn
desire			dIsaIr
destruction		dIst@rukS@n
detail			dItxAl
development		dIvelupment
different		dif@rent
digestion		daIJeStI@n
direction		dIrekS@n
dirty			d@rtI
discovery		disk@vury
discussion		disk@S@n
disease			disIs
disgust			disg@st
distance		dist@ns
distribution	distribUS@n
division		diviS@n
do				dU
dog				dog
door			dOr
down			doun
doubt			dout
drain			drxAn
drawer			dro@r
dress			d.res
drink			d.rInk
driving			d.raIvIG
drop			d.rop
dry				d.raI
dust			dust

dance			dans
December		dIsemb@r
deci-			desI
degree			digrI
dom				dom
Dominion		d@minI@n
dynamite		daIn@maIt

damping			dampIG
date			dxAt
debit			debit
deck			dek
decrease		dikrIs
defect			dIfekt
deficiency		dIfiS@nsI
deflation		dIflxAS@n
degenerate		dIJen@rat
delivery		dIliv@rI
demand			dImand
denominator		dInominxAd@r
department		dIpArtm@nt
desert			dIs@rt
density			densitI
deposit			dIposit
determining		dIt@rminIG
dew				dU
diameter		daImet@r
difference		difrens
difficulty		difik@ltI
drift			drift
dike			daIk
dilution		dilUS@n
dinner			din@r
dip				dip
direct			dIrekt
disappearance	dis@pIr@nz
discharge		disCArJ
discount		diskaunt
disgrace		disgrxAs
dislike			dislaIk
dissipation		dis@pxAS@n
disturbance		disturbenz
ditch			diC
dive			daIv
divisor			divizOr
divorce			divOrs
doll			d@l
domesticating	dumestikatIG	
dreadful		d@redfUl
dream			drIm
duct			dukt
dull			dul
duty			dUtI

daylight		dxAlaIt
downfall		dounfol

dancer			dans@r
dancing			dansIG
designer		dIsaIn@r
dressing		d.resIG
driver			d.raIv@r
dropped			d.rop.t.
dropper			d.rop@r
duster			d@st@r

E				II

ear				Iur
early			@rlI
earth			@rT
east			Ist.
edge			eJ
education		eJukxAS@n
effect			@fek.t.
egg				xAg.
elastic			Ilastik
electric		Ilek.t.rik
end				end
engine			enJin
enough			In@f
equal			Ikwol
error			erOr
even			Iv@n
event			Ivent
ever			ev@r
every			ev@rI
example			ekzampul
exchange		ekzxAnJ
existence		ekzistens.
expansion		ekzpanS@n
experience		ekzpIrIens.
expert			ekzp@rt
eye				.xI.

eight			xAt
eighty			xAtI
electricity		IlektrisitI
eleven			Ilevin
embassy			emb@sI
empire			empaIr
encyclopedia	ensaIklWpIdI@
engineer		enginIr

each			IC
easy			IzI
economy			Ikon@mI
efficiency		IfisIensI
effort			efOrt
either			aID@r
elimination		IliminxAS@n
employer		emplOI@r
empty			emptI
enemy			en@mI
envelope		env@lWp
environment		envaIrWment.
envy			envI
equation		IkuxAS@n
erosion			IrWS@n
eruption		IrupS@n
evaporation		Ivap@rxAS@n
evening			Iv@nIG
exact			egsakt
excitement		eksaItment
experiment		eksp@riment
exercise		eks@rsaIs.
explanation		eksplanxAS@n
explosion		eksplWS@n
export			ekspOrt
expression		ekspreS@n
extinction		ekstInS@n
eyebrow			xIbrA@
eyelash			xIlaS

earring			IrIG
earthwork		@rHwirk
evergreen		ev@rg.rIn
everybody		evrIbudI
everyday		evrIdxA
everyone		evrIw@n
everything		evrITIG
everywhere		evrIwer
eyeball			xIbol

F				ef.

face			fxAs.
fact			fakt
fall			fol
false			fols.
family			familI
far				for
farm			form
fat				fat
father			foT@r
fear			fIr
feather			feT@r
feeble			fIb@l
feeling			fIlIG
female			fImxAl
fertile			f@rtaIl
fiction			fikS@n
field			fIld
fight			fAit
finger			fIng@r
fire			faIr
first			f@rst
fish			fiS
fixed			fiks.t
flag			f.lag
flame			f.lxAm
flat			f.lat
flight			f.laIt
floor			f.lOr
flower			f.lA@r
fly				f.laI
fold			f@ld
food			fUd
foolish			fUliS
foot			fut
for				fOr
force			fOrs.
fork			fOrk
form			fOrm
forward			fOrword
fowl			faul
frame			frxAm
free			frI
frequent		frIkwent
friend			frend
from			fr@m
front			fr@nt
fruit			frUt
full			ful
future			fuet@r

february		febwarI
fifteen			fiftIn
fifth			fifT
fifty			fiftI
five			faIv
four			fOr
fourteen		fOrtIn
fourth			fOrT
forty			fOrtI
friday			fraIdxA

factor			fakt@r
failure			fxAl@r
fair			fer
famous			fxAm@s
fan				fan
fastening		fast@nIG
fault			folt
ferment			f@rment
fertilizing		f@rtilaIzIG
fever			fIv@r
fiber			faIb@r
figure			fig@r
fin				fin
financial		faInanSI@l
flash			flaS
flask			flask
flesh			fleS
flint			flint
flood			flUd
flour			flA@r
flow			flW
focus			fWk@s
foliation		fWlIxAS@n
forecast		fOrkast
forehead		fOrhed
foreign			fOren
forgiveness		fOrgivnes
fraction		frakS@n
fracture		frakS@r
fresh			freS
friction		frikS@n
frost			frost
frozen			frWz@n
fume			fUm
funnel			f@n@l
funny			f@nI
fur				fur
furnace			furnas
furniture		furnaC@r
fusion			fI@S@n

fatherland		faD@rland
fingerprint		fIG@rprint
firearm			faIrArm
fire-engine		faIrenJin
firefly			faIrflaI
fireman			faIrman
fireplace		faIrplxAs.
firework		faIrwirk
first-rate		f@rstrxAt
football		fUUetboUl.
footlights		futlaIts
footman			futman
footnote		futnWt
footprint		futprint
footstep		futstep

farmer			form@r
fisher			fiS@r
fisherman		fiS@rman
folder			fuldur
fired			faIr@d
firing			faIrIG

G				JI.

garden			gArd@n
general			Jenr@l
get				get
girl			gurl
give			giv
glass			glas
glove			gluv
go				gW
goat			gWt
gold			guld
good			gUd
government		guv@rmint
grain			graIn
grass			gras
great			grxAt
green			grIn
grey			grxA
gray			grxA
grip			grip
group			grUp
growth			grOT
guide			gaId
gun				gun

gas				gas
geography		JIografI
geology			JIoluJI
geometry		JIomitrI
gram			gram
glycerin		glis@rin

gate			gxAt
generation		Jen@rxAS@n
germ			J@rm
germinating		J@rm@nxAtIG
gill			gil
glacier			glxAS@r
gland			gland
god				god
got				got
grand			grand
grateful		grxAtf@l
grating			grxAtIG
gravel			grav@l
grease			grIs.
grief			grIf
grocery			grOs@ry
groove			grUv
gross			grWs
ground			grA@nd
guard			gord
guarantee		ger@ntI
guess			ges.
gum				g@m

gasworks		gaswirks.
goldfish		guldfiS
goodlooking		gUdlUkIG
goodnight		gUdnaIt
gunboat			g@nbWt
gunmetal		g@nmet@l
gunpowder		g@npawd@r

gardener		gordun@r

H				.xAC.

hair			hxAr
hammer			ham@r
hand			hand
hanging			haGIG
happy			hapI
harbor			hArb@r
hard			hArd
harmony			hArm@nI
hat				hat
hate			hxAt
have			hav
he				hI
head			hed
healthy			helDI
hearing			hIrIG
heart			hArt
heat			hIt
help			help
here			hIr
high			haI
history			hist@rI
hole			hWl
hollow			holW
hook			huk
hope			hWp
horn			hOrn
horse			hOrs
hospital		hospit@l
hour			ha@r
house			ha@s
how				ha@
humor			hum@r

half			half
hiss			his
hot				hot
hotel			hWtel
hundred			h@ndred
hyena			haI.In@
hygiene			haIJIn
hysteria		histerI@

habit			habit
handkerchief	hank@rCIf	
handle			hand@l
heavy			hevI
hedge			heJ
hill			hil
hinge			hinJ
hire			haIr
hold			huld
holiday			holidxA
home			hWm
honest			hon@st
honey			hunI
hoof			hUf
host			hWst
human			hi@m@n
hunt			h@nt
hurry			h@rI
hurt			h@rt
husband			h@sb@nd

handbook		handbUk
handwriting		handraItIG
headdress		hedres
headland		hedland
headstone		hedstWn
headway			hedwxA
hereafter		hIraft@r
herewith		hIrwiT
highlands		haIlands
highway			haIwxA
himself			himself
horseplay		hOrsplxA
horsepower		hOrspow@r
hourglass		ha@rglas
houseboat		ha@sbWt
housekeeper		ha@skIp@r
however			ha@ev@r

hanger			haG@r
heater			hIt@r
heated			hIt@d
heating			hItIG

I				.xI.

ice				xIs
idea			xIdI@
if				if
ill				il
important		impOrt@nt
impulse			imp@ls.
in				in
increase		inkrIs.
industry		ind@strI
ink				ink
insect			insekt
instrument		instr@mint
insurance		inS@rins.
interest		int@rist
invention		invenS@n
iron			xIr@n
is				iz
island			xIl@nd

Imperial		imp@ri@l
inferno			inf@rnW
influenza		inflUenz@
international	int@rnaS@nol

igneous			ignI@s
image			imaJ
imagination		imaJinxAS@n
import			impOrt
impurity		imp@ritI
inclusion		inklUS@n
index			indeks
individual		individ@ol
inflation		inflxAS@n
infinity		infinitI
inheritance		inherit@ns.
innocent		inWsent
institution		instituS@n
insulator		ins@lxAtOr
integer			int@g@r
intelligent		inteliJent
intercept		int@rsept
interpretation	int@rpretxAS@n
intersection	int@rsekS@n
intrusion		intrUS@n
investigation	investigxAS@n
investment		investment
inverse			inv@rs.
invitation		inv@txAS@n

inasmuch		inasm@C
income			ink@m
indoors			indOrz
inland			inland
inlet			inlet
input			input
inside			insaId
instep			instep
into			intU
itself			itself

inner			in@r

J				.JxA.

jelly			JelI
jewel			JU@l
join			JOIn
journey			J@rnI
judge			J@J
jump			J@mp

january			JanuwerI
jazz			Jaz
july			JUlxI
june			JUn

jam				Jam
jaw				Jo
jealous			Jel@s
jerk			J@rk
joint			JOInt
jug				Jug
juice			Jus
jury			JurI
justice			J@stis.

jeweler			J@l@r
joiner			JOIn@r

K				.kxA.

keep			kIp
kettle			ket@l
key				kI
kick			kik
kind			kxInd
kiss			kis.
knee			nI
knife			nxIf
knot			not
knowledge		nol@J

kilo-			kIlW
king			kIG

kennel			ken@l
kidney			kidnI
kitchen			kiC@n
knock			nok

keeper			kIp@r

L				.el.

land			land
language		laGwaJ
last			last
late			lxAt
laugh			laf.
law				lo.
lead			led
leaf			lIf
learning		l@rnIG
least			lIst
leather			leD@r
leg				lxAg
less			les.
left			left
let				let
letter			let@r
level			lev@l
library			lxIbrerI
lift			lift
light			lxIt
like			lxIk
limit			lim@t
line			lxIn
linen			lin@n
lip				lip
liquid			likwid
list			list
little			lit@l
living			livIG
lock			lok
long			loG
look			lUk
loose			lus.
loss			los.
loud			lA@d
love			l@v
low				lW

latitude		latitUd
lava			lov@
liter			lit@r
liqueur			lik@r
longitude		lonJitUd

lace			lxAs
lag				lag
lake			lxAk
lame			lxAm
lamp			lamp
large			lorJ
latitude		latitUd
lawyer			loI@r
layer			lxA@r
lazy			lxAzI
lecture			lekt@r
legal			lIgal
length			leGT
lens			lenz
lesson			les.@n
lever			lev@r
liability		lxI@bilitI
license			lxIsens.
lid				lid
life			lxIf
lime			lAim
limestone		lAimstWn
link			lInk
liver			liv@r
load			lWd
local			lWk@l
loan			lWn
locus			lWk@s
longitude		loGitUd
luck			l@k
lump			l@mp
lunch			l@nC
lung			l@G

landmark		landmork
landslip		landslip
lighthouse		lxIthA@s

laughing		lafIG
learner			l@rn@r
locker			lok@r
locking			lokIG

M				.em.

machine			moSIn
man				man
manager			man@J@r
make			mxAk
male			mxAl
map				map
mark			mork
market			mork@t
married			merId
match			maC
material		matirI@l
mass			mas.
may				mxA
meal			mIl
measure			mez@r
meat			mIt
medical			medik@l
meeting			mItIG
memory			memrI
metal			met@l
middle			mid@l
military		militrI
milk			milk
mind			mxInd
mine			mxIn
minute			min@t
mist			mist
mixed			miks@d
money			m@nI
monkey			m@nkI
month			m@nT
moon			mUn
more			mWr
morning			mWrnIG
most			mWst
mother			m@T@r
motion			mWS@n
mountain		mO@nt@n
mouth			mO@T
move			mUv
much			m@C
muscle			m@s@l
music			mUsik

macaroni		mak@rWnI
madam			mad@m
magnetic		magnetik
malaria			m@lerI@
mania			mxAnIA
march			morC
mathematics		maTmatiks
may				mxA
meter			mIt@r
meow			mIa@
micro-			mxIkrW
microscope		mxIkrWskWp
milli-			milI
million			milI@n
minute			min@t
monday			m@ndxA
museum			mU@zI@m

magic			maJik
magnitude		magnitUd
manner			man@r
many			manI
marble			mArb@l
margin			mArJin
marriage		meriJ
mast			mast
mattress		matres
mature			mat@r
mean			mIn
meaning			mInIG
medicine		medisin
medium			mIdI@m
melt			melt
member			memb@r
mess			mes.
message			mes@J
metabolism		metab@lizm
mill			mil
mineral			minr@l
mixture			mixtI@r
model			mod@l
modern			mod@rn
modest			mod@st
momentum		mWment@m
monopoly		monoplI
mood			mUd
moral			mOr@l
moustache		m@staC
mud				m@d
multiple		mult@p@l
multiplication	multipl@kxAS@n
murder			m@rd@r

manhole			manhWl
myself			mxIself

marked			mArk.d
miner			mxIn@r

N				.en.

nail			nxAl
name			nxAm
narrow			narW
nation			nxAS@n
natural			natr@l
near			nIr
necessary		nes@sarI
neck			nek
need			nId
needle			nId@l
neep			nIp
nerve			n@rv
net				net
new				nU
news			nUs
night			nxIt
no				nW
noise			nOIz
normal			nOrm@l
north			nOrT
nose			nWz
not				not
note			nWt
now				now
number			n@mb@r
nut				n@t

neutron			nI@tron
nickel			nik@l
nicotine		nik@tIn
nine			nxIn
ninety			nxIntI
november		nWvemb@r

nasty			nastI
nature			nxAC@r
navy			nxAvI
neat			nIt
neglect			n@glekt
neighbor		nxAb@r
nest			nest
next			nekst
nice			nxIs
node			nWd
nostril			nostril
nucleus			nUklI@s
numerator		nUm@rxAt@r
nurse			n@rs.

network			netwirk
newspaper		nI@zpxAp@r
nobody			nWb@dI
nothing			n@TIG
nowhere			nWwer

nearer			nIr@r
noted			nWt@d

O				.Wh.

observation		obs@rvxAS@n
of				@v
off				of
offer			of@r
office			ofis
oil				OIl
old				Old
on				on
only			WnlI
open			Wp@n
operation		oprxAS@n
opinion			@pinI@n
opposite		op@sit
or				Or
orange			Or@nJ
order			Ord@r
organization	Org@nxIsxAS@n
ornament		Orn@m@nt
other			@T@r
out				O@t
oven			@v@n
over			Wv@r
owner			Wn@r

october			oktWb@r
olive			oliv
once			w@ns
omelet			oml@t
one				won
opera			opr@
opium			WpI@m
orchestra		OrCestr@
organism		Org@nis@m

obedient		WbIdI@nt
officer			ofis@r
orchestra		OrCestr@
ore				Or
organ			Org@n
origin			Or@Jin
outcrop			O@tkrop
outlier			O@tlxIr
overlap			Wv@rlap
oval			Wv@l
own				Wn
oxidation		oksidxAS@n

offspring		ofs.prIG
oncoming		onk@mIG
oneself			w@nself
onlooker		onlUk@r
onto			ontU
outburst		O@tb@rst
outcome			O@tk@m
outcry			O@tkrxI
outdoor			O@tdOr
outgoing		O@tgWIG
outhouse		O@thA@s
outlaw			O@tlo
outlet			O@tlet
outline			O@tlxIn
outlook			O@tlUk
output			O@tpUt
outside			O@tsxId
outskirts		O@tsk@rtz
outstretched	O@tstreC@d
overacting		Wv@raktIG
overall			Wv@ral
overbalancing	Wv@rbal@nsIG
overbearing		Wv@rberIG
overcoat		Wv@rkO@t
overcome		Wv@rk@m
overdo			Wv@rdU
overdressed		Wv@rdres@d
overfull		Wv@rful
overhanging		Wv@rhaGIG
overhead		Wv@rhed
overland		Wv@rland
overleaf		Wv@rlIf
overloud		Wv@rlA@d
overseas		Wv@rsIs
overseer		Wv@rsIr
overshoe		Wv@rSU
overstatement	Wv@rstxAtmint
overtake		Wv@rtxAk
overtaxed		Wv@rtaks@d
overtime		Wv@rtxIm
overturned		Wv@rt@rn@d
overuse			Wv@rU@s
overvalued		Wv@rvalU@d
overweight		Wv@rwxAt
overworking		Wv@rwirkIG

outer			O@t@r

P				.pI.

page			pxAJ
pain			pxAn
paint			pxAnt
paper			pxAp@r
parallel		per@lel
parcel			pArs@l
part			pArt
past			past
paste			pxAst
payment			pxAmint
peace			pIs
pen				pen
pencil			pensil
person			p@rs@n
physical		fisik@l
picture			pikC@r
pig				pig
pin				pin
pipe			pxIp
place			plxAs
plane			plxAn
plant			plant
plate			plxAt
play			plxA
please			plIs
pleasure		pleZ@r
plough			plO@
plow			plO@
pocket			pok@t
point			pOInt
poison			pOIs@n
polish			p@liS
political		pWlit@k@l
poor			pOr
porter			pOrt@r
position		pWsiS@n
possible		posib@l
pot				pot
potato			pWtxAtW
powder			pA@d@r
power			pA@r
present			pres@nt
price			prxAs
print			print
prison			pris@n
private			prxIv@t
probable		prob@b@l
process			proses.
produce			prWdUs
profit			profit
property		prop@rtI
prose			prWs
protest			prWtest
public			p@blik
pull			pul
pump			p@mp
punishment		p@niSmint
purpose			p@rp@s
push			puS
put				put

pajamas			p@Jam@s
paraffin		per@fin
paradise		per@dxIs
park			pork
passport		paspOrt
patent			pat@nt
penguin			piGwin
petroleum		p@trOlI@m
phonograph		fonWgraf
physics			fisiks
physiology		fisIOl@JI
piano			pIanW
platinum		platin@m
police			pWlIs
post			pWst
potash			pWtaS
president		presid@nt
prince			prins.
princess		prinses
program			prWgram
propaganda		prop@gand@
psychology		sxIkol@JI
purr			pur
pyramid			pir@mid

packing			pakIG
pad				pad
pair			per
pan				pan
paragraph		per@graf
parent			per@nt
particle		pArt@k@l
partner			pArtn@r
party			pArtI
passage			pas@J
path			paT
patience		pxAS@ns.
pedal			ped@l
pendulum		pend@l@m
pension			penS@n
people			pIp@l
perfect			p@rfikt
petal			pet@l
piston			pist@n
plain			plxAn
plan			plan
plaster			plast@r
plug			plug
poetry			pO@trI
pollen			pol@n
pool			pUl
population		pop@lxAS@n
porcelain		pOrs@lin
practice		praktis.
praise			prxAz
prayer			prxAr
pressure		preS@r
prick			prik
priest			prIst
prime			prxIm
probability		prob@bilitI
product			prod@kt
progress		progres
projectile		prWJekt@l
projection		prWJekS@n
promise			prom@s
proof			prUf
proud			prA@d
pulley			pulI
pupil			pI@pil
purchase		perC@s.
pure			pI@r

pincushion		pink@S@n
plaything		plxATIG
policeman		p@lizman
postman			pWstman
postmark		pWstmork
postmaster		pWstmast@r
postoffice		pWstofis.

painter			pxAnt@r
painting		pxAntIG
parting			portIG
playing			plxAG
played			plxAd
pleased			plI@sd
pointer			pOInt@r
pointing		pOIntIG
potter			pot@r
printer			print@r
prisoner		prisn@r
producer		prodUs@r

Q			.kIU.

quality			kuAlitI
question		kuesC@n
quick			kuik
quiet			kuxI@t
quite			kuxIt

quack			kuak
quarter			kuArt@r
queen			kuIn
quinine			kuInxIn

quantity		kuontitI
quotient		quWtIent

R			.Ar.

rail			rxAl
rain			rxAn
range			rxAnJ
rat				rat
rate			rxAt
ray				rxA
reaction		rIaC@n
red				red
reading			rIdIG
ready			redI
reason			rIz@n
receipt			rIsIt
record			rek@rd
regret			rIgret
regular			rxAgl@r
relation		rIlxAS@n
religion		rIliJ@n
representative	reprIzent@tiv
request			rIkuest
respect			rIspekt
responsible		rIsponsib@l
rest			rest
reward			rIwArd
rhythm			riT@m
rice			rxIs
right			rxIt
ring			rIG
river			riv@r
road			rWd
rod				rod
roll			rOl
roof			rUf
room			rUm
root			rUt
rough			ruf
round			rA@nd
rub				rub
rule			rUl
run				run

radio			rxAdIW
radium			rxAdI@m
referendum		ref@rendum
restaurant		restro@nt
rheumatism		rUm@tism
royal			rOIl
rum				rum

race			rxAs
radiation		rxAdIxAS@n
ratio			rxASW
reagent			rIxAg@nt
real			rIl
receiver		resIv@r
reciprocal		resipr@k@l
rectangle		rektaG@l
recurring		rIk@rIG
reference		refrens.
reflux			rIfluks
reinforcement	rIfxInmint
relative		rel@tiv
remark			rImork
remedy			rem@dI
rent			rent
repair			rIper
reproduction	rIprod@kS@n
repulsion		rIp@lS@n
resistance		rIsistans.
residue			residu
resolution		reslUS@n
result			rIs@lt
retail			rItxAl
revenge			rIvenJ
reversible		rIv@rsib@l
rich			riC
rigidity		riJid@ty
rise			rxIs
rival			rxIv@l
rizz			riz.
rock			rok
rot				rot
rotation		rWtxAS@n
rude			rUd
rust			r@st

runaway			r@n@wxA

raining			rxAnIG
reader			rId@r
reading			rIdIG
roller			rWl@r
ruler			rUl@r
rubber			rub@r

S				.es.

sad				sad
safe			sxAf
sail			sxAl
salt			salt
same			sxAm
sand			sand
say				sxA
scale			skxAl
school			skUl
science			sxIans.
scissors		sis@rs
screw			skrU
sea				sI
seat			sIt
second			sek@nd
secret			sIkret
secretary		sekr@terI
see				sI
seed			sId
selection		selekS@n
self			self
send			send
seem			sIm
sense			sens.
separate		seprit
serious			sirI@s
servant			s@rvent
seventy			sev@ntI
sex				seks
shade			SxAd
shake			SxAk
shame			SxAm
sharp			Sorp
sheep			SIp
shelf			Self
ship			Sip
shirt			S@rt
shock			Sok
shoe			SU
short			SOrt
shut			S@t
side			sxId
sign			sxIn
silk			silk
silver			silv@r
simple			simp@l
sister			sist@r
sixty			sikstI
size			sxIz
skibidi			skibidI
skin			skin
skirt			sk@rt
sky				skxI
sleep			slIp
slip			slip
slope			slWp
slow			slW
small			smol
smash			smaS
smell			smel
smile			smxIl
smoke			smWk
smooth			smUT
snake			snxAk
sneeze			snIz
snow			snW
so				sW
soap			sWp
society			s@sxI@tI
sock			sok
soft			soft
solid			solid
